Utility,LoC
uname-uname,2
coreutils-dir,11
echo,216
users,104
rm,298
rmdir,209
shred,841
sleep,102
remove,402
id,343
head,779
cat,526
cksum_pclmul,133
tr,1322
csplit,1063
stty,2074
expr,779
mkdir,229
chcon,447
pinky,438
false,2
stdbuf,287
prog-fprintf,22
uname,288
pathchk,298
mknod,225
nohup,152
chmod,436
coreutils,"['134', 'file']"
wc_avx2,73
fold,225
uptime,194
cksum,209
wc,808
sort,3423
dirname,98
tail,1752
group-list,86
nice,157
fmt,665
make-prime-list,165
ln,522
relpath,87
od,1432
realpath,222
ls,4100
link,59
cut,412
du,816
hostname,80
join,899
tac,481
df,1363
nproc,90
pwd,266
dircolors,634
runcon,193
expand-common,306
yes,88
tsort,368
printenv,105
ls-dir,2
ptx,1218
printf,574
dd,1913
uniq,488
find-mount-point,78
readlink,141
basenc,940
pr,1705
selinux,244
tee,208
env,637
sync,175
coreutils-vdir,11
tac-pipe,194
date,564
version,2
true,50
cp-hash,86
operand2sig,44
cp,907
kill,253
install,799
ls-ls,2
who,621
expand,144
set-fields,184
unexpand,201
mkfifo,150
shuf,435
crctab,435
whoami,59
chown-core,453
chown,261
basename,133
paste,357
unlink,54
logname,52
tty,86
factor,1927
nl,454
ls-vdir,2
getlimits,122
touch,317
coreutils-arch,11
uname-arch,2
chgrp,250
numfmt,1196
test,653
stat,1690
mktemp,280
lbracket,2
copy,2283
seq,527
digest,1243
split,1279
mv,374
libstdbuf,80
groups,103
comm,359
hostid,50
timeout,423
truncate,306
force-link,104
chroot,321
sum,148
