program,totalloc,files
[,653,test.c
arch,287,uname-arch.c uname.c
b2sum,1243,digest.c
base32,940,basenc.c
base64,940,basenc.c
basename,133,basename.c
basenc,940,basenc.c
cat,526,cat.c
chcon,447,chcon.c
chgrp,250,chgrp.c
chmod,436,chmod.c
chown,261,chown.c
chroot,320,chroot.c
cksum,1439,cksum.c digest.c
comm,349,comm.c
cp,907,cp.c
csplit,1063,csplit.c
cut,413,cut.c
date,549,date.c
dd,1913,dd.c
df,1363,df.c
dir,4095,ls-dir.c ls.c
dircolors,412,dircolors.c
dirname,98,dirname.c
du,816,du.c
echo,216,echo.c
env,636,env.c
expand,144,expand.c
expr,779,expr.c
factor,1909,factor.c
false,52,false.c true.c
fmt,665,fmt.c
fold,225,fold.c
groups,103,groups.c
head,779,head.c
hostid,50,hostid.c
hostname,80,hostname.c
id,343,id.c
install,799,install.c
join,899,join.c
kill,252,kill.c
link,163,force-link.c link.c
ln,522,ln.c
logname,52,logname.c
ls,4095,ls-ls.c ls.c
md5sum,1243,digest.c
mkdir,229,mkdir.c
mkfifo,150,mkfifo.c
mknod,225,mknod.c
mktemp,280,mktemp.c
mv,374,mv.c
nice,156,nice.c
nl,454,nl.c
nohup,151,nohup.c
nproc,90,nproc.c
numfmt,1194,numfmt.c
od,1430,od.c
paste,357,paste.c
pathchk,298,pathchk.c
pinky,438,pinky.c
pr,1698,pr.c
printenv,105,printenv.c
printf,574,printf.c
ptx,1218,ptx.c
pwd,266,pwd.c
readlink,141,readlink.c
realpath,222,realpath.c
rm,298,rm.c
rmdir,213,rmdir.c
runcon,191,runcon.c
seq,527,seq.c
sha1sum,1243,digest.c
sha224sum,1243,digest.c
sha256sum,1243,digest.c
sha384sum,1243,digest.c
sha512sum,1243,digest.c
shred,841,shred.c
shuf,429,shuf.c
sleep,102,sleep.c
sort,3429,sort.c
split,1279,split.c
stat,1685,stat.c
stdbuf,286,stdbuf.c
stty,2025,stty.c
sum,1391,sum.c digest.c
sync,175,sync.c
tac,481,tac.c
tail,1748,tail.c
tee,208,tee.c
test,653,test.c
timeout,423,timeout.c
touch,318,touch.c
tr,1322,tr.c
true,50,true.c
truncate,306,truncate.c
tsort,368,tsort.c
tty,86,tty.c
uname,287,uname-uname.c uname.c
unexpand,201,unexpand.c
uniq,488,uniq.c
unlink,54,unlink.c
uptime,194,uptime.c
users,104,users.c
vdir,4095,ls-vdir.c ls.c
wc,775,wc.c
who,621,who.c
whoami,59,whoami.c
yes,88,yes.c
