version,arch,dd,expr,factor,false,groups,hostid,hostname,link,logname,nohup,printf,sleep,true,tsort,unlink,uptime,users,whoami,yes
v4.5.1,0,910,625,150,0,0,54,85,62,66,0,450,209,43,392,61,188,124,71,78
v4.5.2,0,908,625,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.3,0,911,625,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.4,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.5,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.6,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.7,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.8,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.9,0,908,611,150,0,0,54,85,62,66,0,455,127,43,392,61,188,124,71,78
v4.5.10,0,908,611,150,0,0,54,85,62,66,0,462,118,43,392,61,188,124,71,78
v4.5.11,0,908,611,150,0,0,54,85,62,66,0,462,118,43,392,61,188,124,71,78
v4.5.12,0,908,611,150,0,0,54,85,62,66,0,469,118,43,392,61,188,124,71,78
v5.0,0,908,611,150,0,0,54,85,62,66,0,469,118,43,392,61,188,124,71,78
v5.0.1,0,909,612,151,0,0,55,86,63,71,127,471,119,44,392,62,189,125,72,79
v5.0.90,0,919,639,150,0,0,51,85,63,70,129,470,118,42,391,62,188,124,71,78
v5.0.91,0,919,639,150,0,0,51,85,63,70,129,470,118,42,391,62,188,124,71,78
v5.1.0,0,918,639,154,0,0,51,85,63,70,129,466,119,43,391,62,188,125,71,62
v5.1.1,0,918,639,154,0,0,51,85,63,70,129,466,119,43,391,62,188,125,71,62
v5.1.2,0,918,638,154,0,0,51,85,63,70,127,466,119,43,391,62,188,125,71,62
v5.1.3,0,918,638,154,0,0,51,85,63,70,127,466,119,43,391,62,191,125,71,62
v5.2.0,0,918,638,154,0,0,51,85,63,70,127,466,119,43,391,62,191,125,71,62
v5.2.1,0,918,669,154,0,0,51,85,63,70,132,466,119,43,391,62,191,125,71,62
v5.3.0,0,1162,669,150,0,0,55,85,63,58,125,537,104,43,380,58,172,105,63,63
v5.90,0,1246,671,151,53,0,56,85,63,58,126,539,105,51,370,58,172,105,63,63
v5.91,0,1247,671,151,53,0,56,85,63,58,126,539,105,51,370,58,172,105,63,63
v5.92,0,1247,671,151,53,0,56,85,63,58,126,539,105,51,370,58,172,105,63,63
v6.0,0,1279,693,151,53,0,56,85,62,58,149,539,105,51,370,57,171,105,63,63
v6.1,0,1276,693,151,53,0,56,85,62,58,149,539,105,51,370,57,172,105,63,63
v6.2,0,1276,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.3,0,1276,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.4,0,1276,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.5,0,1274,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.6,0,1274,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.7,0,1276,697,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.8,0,1279,706,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.9,0,1279,706,151,53,0,56,85,62,58,149,536,105,51,370,57,186,105,63,63
v6.9.89,285,1279,705,151,53,0,56,85,62,58,156,537,105,51,370,57,186,105,63,63
v6.9.90,285,1279,705,151,53,0,56,85,62,58,156,537,105,51,370,57,186,105,63,63
v6.9.91,285,1278,705,151,53,0,56,85,62,58,156,537,105,51,370,57,186,105,63,63
v6.9.92,285,1278,705,151,53,0,56,85,62,58,156,537,105,51,370,57,186,105,63,63
v6.10,285,1278,705,151,53,0,56,85,62,58,156,537,105,51,370,57,186,105,63,63
v6.11,285,1295,705,151,53,87,56,85,62,58,156,536,105,51,370,57,186,105,63,63
v6.12,285,1298,705,151,53,89,56,85,62,58,156,536,107,51,370,57,189,107,63,63
v7.0,284,1344,1085,493,52,87,55,84,61,57,155,535,106,50,369,56,197,106,62,62
v7.1,284,1387,794,449,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v7.2,284,1389,794,448,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v7.3,284,1389,794,448,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v7.4,284,1389,794,448,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v7.5,284,1402,794,448,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v7.6,284,1406,794,448,52,87,53,81,61,57,155,543,106,50,369,56,196,106,62,62
v8.0,284,1406,796,448,52,87,53,81,61,57,155,543,106,50,369,56,199,106,62,62
v8.1,284,1406,796,448,52,87,53,81,61,57,161,545,106,50,369,56,199,106,62,62
v8.2,284,1406,796,448,52,87,53,81,61,57,161,545,106,50,369,56,199,106,62,62
v8.3,284,1406,796,449,52,87,53,81,61,57,165,545,106,50,369,56,199,106,62,62
v8.4,284,1406,796,449,52,87,53,81,61,57,165,545,106,50,369,56,199,106,62,62
v8.5,284,1406,796,449,52,87,53,81,61,57,165,545,106,50,369,56,199,106,62,62
v8.6,284,1414,796,449,52,87,53,81,61,57,165,545,106,50,371,56,199,106,62,62
v8.7,284,1414,796,449,52,87,53,81,61,57,165,545,106,50,371,56,199,106,62,62
v8.8,284,1414,796,449,52,87,53,81,61,57,165,545,106,50,375,56,199,106,62,62
v8.9,284,1415,796,449,52,88,53,81,61,57,165,545,106,50,375,56,199,106,62,62
v8.10,284,1415,796,449,52,88,53,81,61,57,165,545,106,50,375,56,199,106,62,62
v8.11,284,1551,796,449,52,88,53,81,61,57,165,545,106,50,375,56,195,106,62,62
v8.12,284,1551,796,449,52,88,53,81,61,57,165,545,106,50,375,56,195,106,62,62
v8.13,284,1553,797,450,52,88,53,81,61,57,165,545,106,50,375,56,195,106,62,59
v8.14,284,1553,797,450,52,88,53,81,61,57,165,545,106,50,375,56,195,106,62,59
v8.15,284,1553,797,450,52,99,53,81,61,57,165,545,106,50,375,56,195,106,64,59
v8.16,283,1676,796,449,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.17,283,1676,796,449,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.18,283,1676,796,449,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.19,283,1676,796,449,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.20,283,1683,796,1857,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.21,283,1684,796,1868,52,98,52,80,60,56,164,544,105,50,374,55,194,105,63,58
v8.22,283,1709,790,1868,52,98,52,80,60,56,164,544,105,50,374,55,195,105,63,58
v8.23,283,1709,790,1857,52,98,52,80,60,56,164,544,105,50,373,55,195,105,63,58
v8.24,283,1793,790,1914,52,98,52,80,60,53,158,544,105,50,375,55,195,105,60,96
v8.25,283,1815,789,1908,52,100,52,81,60,53,157,557,105,50,376,55,195,105,60,96
v8.26,284,1819,789,1914,52,100,52,82,61,54,157,558,106,50,377,56,196,106,61,86
v8.27,284,1819,789,1928,52,100,52,82,167,54,157,558,106,50,377,56,196,106,61,86
v8.28,284,1820,865,1928,52,103,52,82,167,54,153,558,105,50,377,56,196,106,61,86
v8.29,284,1847,870,1928,52,103,56,86,171,58,157,558,109,50,381,60,200,110,65,90
v8.30,284,1847,870,1928,52,103,56,86,171,58,157,558,109,50,381,60,200,110,65,90
v8.31,284,1841,870,1928,52,103,50,80,163,52,151,558,102,50,375,54,194,104,59,84
v8.32,284,1885,870,1928,52,103,50,80,163,52,151,558,102,50,375,54,195,104,59,88
v9.0,284,1869,777,1900,52,103,50,81,163,52,151,558,102,50,376,54,195,104,59,88
v9.1,287,1913,779,1909,52,103,50,80,163,52,151,574,102,50,368,54,194,104,59,88
